,Title,Stars,Img_url,Price (pounds),id,Price (euros),Text,Text (es),Text (ch)
10,"Starving Hearts (Triangular Trade Trilogy, #1)",2,../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,13.99,10,16.37,"""Starving Hearts"" is a novel written by Janine Mendenhall and is the first book in the Triangular Trade Trilogy. The story takes place in the late 18th century and follows the journey of a young woman named Annette Burke as she navigates the complexities of love, faith, and societal expectations. Set against the backdrop of the transatlantic slave trade, the book explores themes of social injustice, personal growth, and the power of forgiveness. Mendenhall weaves a tale of love and redemption, drawing readers in with her rich historical detail and compelling characters.","""Starving Hearts"" es una novela escrita por Janine Mendenhall y es el primer libro de la Trilogía del Comercio Triangular. La historia tiene lugar a finales del siglo XVIII y sigue el viaje de una joven llamada Annette Burke mientras navega por las complejidades del amor, la fe y las expectativas sociales. Con el telón de fondo de la trata transatlántica de esclavos, el libro explora temas de injusticia social, crecimiento personal y el poder del perdón. Mendenhall teje una historia de amor y redención, atrayendo a los lectores con sus ricos detalles históricos y personajes convincentes.",《饥饿的心》是珍妮·门登霍尔创作的小说，是三角贸易三部曲的第一部。故事发生在 18 世纪末，讲述了一位名叫安妮特·伯克 (Annette Burke) 的年轻女子在爱情、信仰和社会期望的复杂性中游刃有余的旅程。这本书以跨大西洋奴隶贸易为背景，探讨了社会不公正、个人成长和宽恕的力量等主题。门登霍尔编织了一个关于爱与救赎的故事，以其丰富的历史细节和引人入胜的人物吸引着读者。
11,Shakespeare's Sonnets,4,../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,20.66,11,24.17,"""Shakespeare's Sonnets"" is a collection of 154 poems written by William Shakespeare. These sonnets, written in the late 16th and early 17th century, are among the most renowned and influential works of English literature. The sonnets address a range of themes, including love, beauty, time, and immortality, and are known for their elaborate imagery and poetic techniques. Compelling and emotionally charged, Shakespeare's Sonnets continue to captivate readers with their exploration of human emotions and experiences.","""Los Sonetos de Shakespeare"" es una colección de 154 poemas escritos por William Shakespeare. Estos sonetos, escritos a finales del siglo XVI y principios del XVII, se encuentran entre las obras más reconocidas e influyentes de la literatura inglesa. Los sonetos abordan una variedad de temas, incluidos el amor, la belleza, el tiempo y la inmortalidad, y son conocidos por sus elaboradas imágenes y técnicas poéticas. Convincentes y cargados de emociones, los Sonetos de Shakespeare continúan cautivando a los lectores con su exploración de las emociones y experiencias humanas.",《莎士比亚十四行诗》是威廉·莎士比亚创作的154首诗集。这些十四行诗写于 16 世纪末和 17 世纪初，是英国文学中最著名和最有影响力的作品之一。这些十四行诗涉及一系列主题，包括爱情、美、时间和不朽，并以其精致的意象和诗歌技巧而闻名。莎士比亚的十四行诗引人入胜且充满情感，通过对人类情感和经历的探索继续吸引着读者。
12,Set Me Free,5,../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,17.46,12,20.43,"I'm sorry, but I don't have any information or context about the text ""Set Me Free."" It could refer to a variety of books, songs, movies, or other creative works. Could you please provide more details or specify which context you are referring to?","Lo siento, pero no tengo ninguna información o contexto sobre el texto ""Libérame"". Podría referirse a una variedad de libros, canciones, películas u otras obras creativas. ¿Podría proporcionar más detalles o especificar a qué contexto se refiere?",抱歉，我没有任何有关“让我自由”文本的信息或上下文。它可以指各种书籍、歌曲、电影或其他创意作品。您能否提供更多详细信息或指定您所指的上下文？
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,52.29,13,61.18,"""Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)"" is a graphic novel written by Bryan Lee O'Malley. It tells the story of Scott Pilgrim, a 23-year-old slacker and bass guitarist in the band Sex Bob-Omb, who falls in love with Ramona Flowers. In order to be with Ramona, Scott must defeat her seven evil exes in a series of bizzarre and comedic battles. The novel combines elements of romance, humor, and video game references to create a unique and highly entertaining story.","""La pequeña y preciosa vida de Scott Pilgrim (Scott Pilgrim #1)"" es una novela gráfica escrita por Bryan Lee O'Malley. Cuenta la historia de Scott Pilgrim, un holgazán y bajista de 23 años de la banda Sex Bob-Omb, que se enamora de Ramona Flowers. Para estar con Ramona, Scott debe derrotar a sus siete malvados ex en una serie de batallas extrañas y cómicas. La novela combina elementos de romance, humor y referencias a videojuegos para crear una historia única y muy entretenida.",《斯科特·皮尔格林的珍贵小生命》（斯科特·皮尔格林#1）是布莱恩·李·奥马利创作的图画小说。该剧讲述了 23 岁的懒鬼斯科特·皮尔格里姆 (Scott Pilgrim) 的故事，他是 Sex Bob-Omb 乐队的贝斯手，爱上了雷蒙娜·弗劳尔斯 (Ramona Flowers)。为了和雷蒙娜在一起，斯科特必须在一系列离奇而喜剧的战斗中击败她的七个邪恶前任。这部小说结合了浪漫、幽默和电子游戏的元素，创造了一个独特且高度有趣的故事。
14,Rip it Up and Start Again,5,../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,35.02,14,40.97,"""Rip it Up and Start Again"" is a book written by Simon Reynolds. It is a comprehensive look at the post-punk music scene from the late 1970s to the early 1980s. The book explores the cultural and musical shifts that occurred during this time, examining the rise of bands like Joy Division, Talking Heads, and Public Image Ltd. Reynolds delves into the ideologies, aesthetics, and influences that shaped the post-punk movement, offering insights into its impact on music and popular culture.","""Rip it Up and Start Again"" es un libro escrito por Simon Reynolds. Es una mirada completa a la escena musical post-punk desde finales de los 70 hasta principios de los 80. El libro explora los cambios culturales y musicales que ocurrieron durante esta época, examinando el ascenso de bandas como Joy Division, Talking Heads y Public Image Ltd. Reynolds profundiza en las ideologías, estéticas e influencias que dieron forma al movimiento post-punk, ofreciendo información sobre su impacto en la música y la cultura popular.",《撕碎它并重新开始》是西蒙·雷诺兹写的一本书。这是对 20 世纪 70 年代末至 80 年代初后朋克音乐场景的全面审视。这本书探讨了这一时期发生的文化和音乐转变，考察了 Joy Division、Talking Heads 和 Public Image Ltd 等乐队的崛起。雷诺兹深入研究了塑造后朋克运动的意识形态、美学和影响，提供了深入了解其对音乐和流行文化的影响。
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,57.25,15,66.98,"""Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"" is a book written by Michael Azerrad. It documents the rise of the American underground music scene during the 1980s. Azerrad interviews and profiles thirteen influential indie rock bands, including Black Flag, Sonic Youth, and Minor Threat, showcasing their DIY ethos and the alternative culture they created. The book provides a vivid and detailed account of the bands' struggles, innovations, and impact on popular music, highlighting the grassroots spirit that defined the era.","""Nuestra banda podría ser tu vida: escenas del underground indie estadounidense, 1981-1991"" es un libro escrito por Michael Azerrad. Documenta el ascenso de la escena musical underground estadounidense durante la década de 1980. Azerrad entrevista y perfila a trece influyentes bandas de indie rock, incluidas Black Flag, Sonic Youth y Minor Threat, mostrando su espíritu de bricolaje y la cultura alternativa que crearon. El libro ofrece un relato vívido y detallado de las luchas, las innovaciones y el impacto de las bandas en la música popular, destacando el espíritu popular que definió la época.",《我们的乐队可以成为你的生活：美国独立地下乐队的场景，1981-1991》是迈克尔·阿泽拉德 (Michael Azerrad) 撰写的一本书。它记录了 20 世纪 80 年代美国地下音乐界的崛起。 Azerrad 采访并介绍了 13 个有影响力的独立摇滚乐队，包括 Black Flag、Sonic Youth 和 Minor Threat，展示了他们的 DIY 精神和他们创造的另类文化。这本书生动而详细地描述了乐队的奋斗、创新以及对流行音乐的影响，凸显了定义那个时代的草根精神。
16,Olio,1,../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,23.88,16,27.94,"""Olio"" is a book written by Tyehimba Jess. It is a collection of poetry that explores the lives and experiences of African American performers and artists from the 19th and early 20th centuries. Through a combination of historical research and poetic imagination, Jess delves into the stories of forgotten figures like Scott Joplin, Blind Tom, and Sissieretta Jones, capturing their voices and experiences in a rich and lyrical form. The book is a celebration of African American culture and resilience, offering a fresh and powerful perspective on the artistic contributions of black artists throughout history.","""Olio"" es un libro escrito por Tyehimba Jess. Es una colección de poesía que explora las vidas y experiencias de intérpretes y artistas afroamericanos del siglo XIX y principios del XX. A través de una combinación de investigación histórica e imaginación poética, Jess profundiza en las historias de figuras olvidadas como Scott Joplin, Blind Tom y Sissieretta Jones, capturando sus voces y experiencias en una forma rica y lírica. El libro es una celebración de la cultura y la resiliencia afroamericana y ofrece una perspectiva nueva y poderosa sobre las contribuciones artísticas de los artistas negros a lo largo de la historia.",《Olio》是 Tyehimba Jess 写的一本书。这是一本探索 19 世纪和 20 世纪初非裔美国表演者和艺术家的生活和经历的诗集。通过历史研究和诗意想象的结合，杰西深入研究了斯科特·乔普林、盲人汤姆和西西埃雷塔·琼斯等被遗忘人物的故事，以丰富而抒情的形式捕捉他们的声音和经历。这本书是对非裔美国人文化和韧性的颂扬，为历史上黑人艺术家的艺术贡献提供了新鲜而有力的视角。
17,Mesaerion: The Best Science Fiction Stories 1800-1849,1,../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,37.59,17,43.98,"""Mesaerion: The Best Science Fiction Stories 1800-1849"" is a compilation of science fiction stories edited by George Locke. The book features a curated selection of science fiction tales from the early 19th century, highlighting the imaginative and visionary nature of the genre during that period. It showcases the works of various authors who explored themes such as technological advancements, space exploration, and speculative future societies. This collection provides a glimpse into the early origins and development of science fiction literature, offering readers a fascinating journey into the speculative possibilities of the past.","""Mesaerion: Las mejores historias de ciencia ficción 1800-1849"" es una recopilación de historias de ciencia ficción editada por George Locke. El libro presenta una selección curada de cuentos de ciencia ficción de principios del siglo XIX, destacando la naturaleza imaginativa y visionaria del género durante ese período. Muestra las obras de varios autores que exploraron temas como los avances tecnológicos, la exploración espacial y las sociedades futuras especulativas. Esta colección ofrece un vistazo a los orígenes y el desarrollo de la literatura de ciencia ficción, ofreciendo a los lectores un viaje fascinante a las posibilidades especulativas del pasado.",《Mesaerion：1800-1849年最佳科幻故事》是乔治·洛克编辑的科幻故事合集。这本书精选了 19 世纪初的科幻故事，突出了这一时期这一类型的想象力和远见性。它展示了不同作者的作品，他们探讨了技术进步、太空探索和推测的未来社会等主题。该合集让读者一睹科幻文学的早期起源和发展，为读者提供了一段探索过去推测可能性的迷人旅程。
18,Libertarianism for Beginners,2,../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,51.33,18,60.06,"""Libertarianism for Beginners"" is a concise and accessible introduction to the principles and philosophy of libertarianism, written by Todd Seavey and illustrated by Nathan Smith. The book provides an overview of libertarianism as a political ideology that values individual liberty, limited government intervention, free markets, and personal responsibility. Through informative and engaging illustrations, it explores key concepts such as the Non-Aggression Principle, property rights, and the role of government in society. This beginner's guide offers readers a clear and straightforward understanding of libertarianism and its core principles.","""Libertarianismo para principiantes"" es una introducción concisa y accesible a los principios y la filosofía del libertarismo, escrita por Todd Seavey e ilustrada por Nathan Smith. El libro ofrece una visión general del libertarismo como una ideología política que valora la libertad individual, la intervención gubernamental limitada, los mercados libres y la responsabilidad personal. A través de ilustraciones informativas y atractivas, explora conceptos clave como el principio de no agresión, los derechos de propiedad y el papel del gobierno en la sociedad. Esta guía para principiantes ofrece a los lectores una comprensión clara y directa del libertarismo y sus principios fundamentales.",《初学者的自由主义》是对自由主义原则和哲学的简洁易懂的介绍，由托德·西维撰写，内森·史密斯插图。本书概述了自由主义作为一种政治意识形态，重视个人自由、有限的政府干预、自由市场和个人责任。通过内容丰富、引人入胜的插图，它探讨了互不侵犯原则、财产权和政府在社会中的作用等关键概念。这本初学者指南为读者提供了对自由主义及其核心原则的清晰、直接的理解。
19,It's Only the Himalayas,2,../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,45.17,19,52.85,"""It's Only the Himalayas"" is a travel memoir written by S. Bedford, recounting her experiences exploring the majestic Himalayan mountain range. The book chronicles her adventures and misadventures as she navigates through the breathtaking landscapes, encounters diverse cultures, and overcomes challenges along the way. With a blend of humor, self-discovery, and awe-inspiring descriptions, the author takes readers on a journey that captures the allure and mystique of one of the world's most iconic natural wonders, the Himalayas.","""It's Only the Himalayas"" es una memoria de viaje escrita por S. Bedford, que relata sus experiencias al explorar la majestuosa cordillera del Himalaya. El libro narra sus aventuras y desventuras mientras navega a través de paisajes impresionantes, encuentra diversas culturas y supera desafíos en el camino. Con una mezcla de humor, autodescubrimiento y descripciones impresionantes, el autor lleva a los lectores a un viaje que captura el encanto y la mística de una de las maravillas naturales más emblemáticas del mundo, el Himalaya.",《只是喜马拉雅山》是 S. Bedford 撰写的一本旅行回忆录，讲述了她探索雄伟的喜马拉雅山脉的经历。这本书记录了她在令人惊叹的风景中航行、遇到不同的文化并克服沿途的挑战时的冒险和不幸经历。作者将幽默、自我发现和令人惊叹的描述融为一体，带领读者踏上一段旅程，领略世界上最具标志性的自然奇观之一——喜马拉雅山的魅力和神秘。
20,In Her Wake,1,../../media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,12.84,20,15.02,"""In Her Wake"" is a mesmerizing and emotionally charged novel by K.A. Tucker. The book follows the story of a woman named Kate who, after the death of her mother, discovers a web of secrets and deceptions that have shaped her entire existence. As she delves deeper into her mother's past, Kate unravels shocking revelations that force her to question her identity and confront the painful truths that lie in her wake. With its richly developed characters and compelling narrative, this gripping novel explores themes of love, loss, and the power of self-discovery.","""In Her Wake"" es una novela fascinante y cargada de emociones de K.A. Fatigar. El libro sigue la historia de una mujer llamada Kate que, tras la muerte de su madre, descubre una red de secretos y engaños que han marcado toda su existencia. A medida que profundiza en el pasado de su madre, Kate descubre impactantes revelaciones que la obligan a cuestionar su identidad y enfrentar las dolorosas verdades que se esconden a su paso. Con personajes ricamente desarrollados y una narrativa convincente, esta apasionante novela explora temas de amor, pérdida y el poder del autodescubrimiento.",《In Her Wake》是 K.A. 的一部引人入胜且充满情感的小说。塔克。这本书讲述了一位名叫凯特的女人的故事，她在母亲去世后发现了一张充满秘密和欺骗的网络，这些秘密和欺骗塑造了她的整个存在。当凯特深入探究母亲的过去时，她揭开了令人震惊的真相，迫使她质疑自己的身份，并面对随之而来的痛苦真相。这部扣人心弦的小说以其丰富的人物塑造和引人入胜的叙事，探讨了爱、失落和自我发现的力量等主题。
